"","Pathway","CellType","avg","std"
"71","MAPK","Gamma Delta T cells",-1.06449290683916,1.28125344756492
"72","MAPK","MAIT cells",0.216341524097664,1.10397877683139
"73","NFkB","CD8+ CD73+ regulatory T cells",-0.448685882167094,0.748920761446343
"74","NFkB","CD8+ central memory T cells",-0.332854925793348,0.954069215899712
"75","NFkB","CD8+ cycling effector T cells",-0.409465054247571,1.02462751959173
"76","NFkB","CD8+ effector memory T cells 1",0.331104084172584,0.821184543352387
"77","NFkB","CD8+ effector memory T cells 2",0.650232921274383,0.907397468999736
"78","NFkB","CD8+ exhausted T cells",0.00249800202637788,0.833516616088491
"79","NFkB","CD8+ naive T cells",-1.46417179177737,0.868308842803499
"80","NFkB","CD8+ NK-like early effector T cells",0.087476269032351,0.790783393924597
"81","NFkB","CD8+ NK-like TEMRA cells",0.206668032876876,0.798316995311835
"82","NFkB","CD8+ TEMRA cells",0.118919538951288,0.802305511897523
"83","NFkB","Gamma Delta T cells",-0.585586167785354,0.786270849137676
"84","NFkB","MAIT cells",0.129324615455038,0.829187413063571
"85","p53","CD8+ CD73+ regulatory T cells",0.192426640572545,0.823412834863925
"86","p53","CD8+ central memory T cells",-0.0200409854317535,0.835433138432019
"87","p53","CD8+ cycling effector T cells",-2.31083148672173,2.94743079506101
"88","p53","CD8+ effector memory T cells 1",0.00542432817523095,0.917447385033202
"89","p53","CD8+ effector memory T cells 2",0.0928530933710453,0.926483102745479
"90","p53","CD8+ exhausted T cells",-0.0581807236254182,0.912056727273114
"91","p53","CD8+ naive T cells",0.00306678187142229,0.728502969487787
"92","p53","CD8+ NK-like early effector T cells",0.149743972585538,1.06602812829101
"93","p53","CD8+ NK-like TEMRA cells",0.1439746710651,1.04644491348138
"94","p53","CD8+ TEMRA cells",0.0191174715354455,0.920450132092447
"95","p53","Gamma Delta T cells",0.4557893190516,1.07119407720403
"96","p53","MAIT cells",0.297921671222734,0.988739306627009
"97","PI3K","CD8+ CD73+ regulatory T cells",-0.168873694627274,0.916919236799497
"98","PI3K","CD8+ central memory T cells",-0.231817244640664,0.912650457359123
"99","PI3K","CD8+ cycling effector T cells",0.832320795194669,1.29746786839585
"100","PI3K","CD8+ effector memory T cells 1",-0.0653146358210278,0.938832536959547
"101","PI3K","CD8+ effector memory T cells 2",-0.0438109893966625,1.07329586896254
"102","PI3K","CD8+ exhausted T cells",0.151318430620953,1.0940745220187
"103","PI3K","CD8+ naive T cells",-0.419302903536222,0.946496426878069
"104","PI3K","CD8+ NK-like early effector T cells",-0.0262960272252524,1.04170958978469
"105","PI3K","CD8+ NK-like TEMRA cells",0.0339808808977563,0.880292166263191
"106","PI3K","CD8+ TEMRA cells",0.254886567053251,1.00006962934971
"107","PI3K","Gamma Delta T cells",0.347162912759671,1.17501724045015
"108","PI3K","MAIT cells",0.0586722969308429,0.9317706925185
"109","TGFb","CD8+ CD73+ regulatory T cells",-0.0233435395362507,0.995121245773296
"110","TGFb","CD8+ central memory T cells",0.0890199877408949,0.955008811173689
"111","TGFb","CD8+ cycling effector T cells",-0.0583315573674706,1.27751471643012
"112","TGFb","CD8+ effector memory T cells 1",-0.0449291966926576,0.965429501854911
"113","TGFb","CD8+ effector memory T cells 2",0.170650518415199,0.910558947572505
"114","TGFb","CD8+ exhausted T cells",0.878817734894536,0.885850132852608
"115","TGFb","CD8+ naive T cells",-0.264502093272768,0.941535701081705
"116","TGFb","CD8+ NK-like early effector T cells",0.136169547911592,1.04747441292691
"117","TGFb","CD8+ NK-like TEMRA cells",0.0421063899145006,0.973350897570826
"118","TGFb","CD8+ TEMRA cells",0.00794097696999161,1.05171687035508
"119","TGFb","Gamma Delta T cells",0.527391936534101,1.05102228681148
"120","TGFb","MAIT cells",-0.0315527570332923,0.938577340897815
"121","TNFa","CD8+ CD73+ regulatory T cells",-0.421276600106255,0.77307761041877
"122","TNFa","CD8+ central memory T cells",-0.236856318551806,0.97735159283364
"123","TNFa","CD8+ cycling effector T cells",-0.360745862970839,0.986914675708546
"124","TNFa","CD8+ effector memory T cells 1",0.33622176958024,0.815796507961174
"125","TNFa","CD8+ effector memory T cells 2",0.594495557984835,0.864772826184977
"126","TNFa","CD8+ exhausted T cells",-0.023763905056986,0.812096469789537
"127","TNFa","CD8+ naive T cells",-1.59082570131797,0.85826729156746
"128","TNFa","CD8+ NK-like early effector T cells",0.235967169394448,0.769494086346867
"129","TNFa","CD8+ NK-like TEMRA cells",0.150980202674877,0.693952218075795
"130","TNFa","CD8+ TEMRA cells",0.112729862061421,0.773492884022023
"131","TNFa","Gamma Delta T cells",-0.571501717352819,0.753345595805443
"132","TNFa","MAIT cells",0.233254097350049,0.775816494656619
"133","Trail","CD8+ CD73+ regulatory T cells",-0.38912333382155,1.03944947010635
"134","Trail","CD8+ central memory T cells",-0.00210909120100804,1.01740310867685
"135","Trail","CD8+ cycling effector T cells",-0.0911235748529248,1.11625039520237
"136","Trail","CD8+ effector memory T cells 1",0.0830101060593639,0.989552141612954
"137","Trail","CD8+ effector memory T cells 2",-0.0715960034766239,0.96534826350343
"138","Trail","CD8+ exhausted T cells",-0.103807885899383,0.923256185036422
"139","Trail","CD8+ naive T cells",0.0343437611181806,0.888225713230397
"140","Trail","CD8+ NK-like early effector T cells",-0.080363176856342,0.975746865769609
"141","Trail","CD8+ NK-like TEMRA cells",-0.0351858364476137,0.997607280717437
"142","Trail","CD8+ TEMRA cells",-0.0233160479094887,1.0315920609715
"143","Trail","Gamma Delta T cells",0.212275215152935,0.819802244478127
"144","Trail","MAIT cells",-0.339063326364505,1.03352965255543
"145","VEGF","CD8+ CD73+ regulatory T cells",-0.579289181581863,0.779420803907282
"146","VEGF","CD8+ central memory T cells",-0.362994920712345,0.815596414714938
"147","VEGF","CD8+ cycling effector T cells",-0.0043743684720621,0.916700932140803
"148","VEGF","CD8+ effector memory T cells 1",-0.199100544772266,0.964640512179515
"149","VEGF","CD8+ effector memory T cells 2",0.0427798287777691,0.917717279261867
"150","VEGF","CD8+ exhausted T cells",0.110903742617567,1.0281752532643
"151","VEGF","CD8+ naive T cells",-0.313268612476085,0.819057927059734
"152","VEGF","CD8+ NK-like early effector T cells",-0.175084892809838,0.927626322588665
"153","VEGF","CD8+ NK-like TEMRA cells",0.413466953971996,1.0119650182197
"154","VEGF","CD8+ TEMRA cells",0.413276997693988,1.02070361249036
"155","VEGF","Gamma Delta T cells",1.20207034008502,0.846834854749497
"156","VEGF","MAIT cells",-0.0137245555969816,0.859934499075053
"157","WNT","CD8+ CD73+ regulatory T cells",-0.144186861740846,0.967963620198115
"158","WNT","CD8+ central memory T cells",-0.00676179699025441,0.973750610503042
"159","WNT","CD8+ cycling effector T cells",-0.201760576901828,0.911111537578053
"160","WNT","CD8+ effector memory T cells 1",0.0120430405987795,1.00994302827516
"161","WNT","CD8+ effector memory T cells 2",0.186546064195277,1.10400900127189
"162","WNT","CD8+ exhausted T cells",-0.0771971914742082,1.05789532293061
"163","WNT","CD8+ naive T cells",0.0560453217509571,0.822441719018646
"164","WNT","CD8+ NK-like early effector T cells",0.00354493489720055,0.965635204924811
"165","WNT","CD8+ NK-like TEMRA cells",0.0899830715260862,0.929093650564843
"166","WNT","CD8+ TEMRA cells",-0.0492394584210427,1.03807493920008
"167","WNT","Gamma Delta T cells",-0.331296001696406,1.04324547136327
"168","WNT","MAIT cells",-0.0144853260444915,0.905452732398598
