"","tf","cell_type","avg","std"
"66","AR","active_mild.CD8+ effector memory T cells 1",-2.62889514449906,1.15588849345189
"67","AR","active_mild.CD8+ effector memory T cells 2",-1.91834796586988,1.20831307977818
"68","AR","active_mild.CD8+ naive T cells",-2.947370228408,1.1098050383382
"69","AR","active_mild.CD8+ NK-like early effector T cells",-2.89970291939899,1.14130943748447
"70","AR","active_mild.CD8+ NK-like TEMRA cells",-2.2539669820175,1.13807647148491
"71","AR","active_mild.CD8+ TEMRA cells",-2.44627786442278,1.16793518043295
"72","AR","active_mild.Gamma Delta T cells",-2.28826554576416,1.00688402786583
"73","AR","active_mild.MAIT cells",-2.14792229617541,1.22410189923428
"74","AR","active_severe.Atypical NKT cells",-1.79521877064534,1.36935194808393
"75","AR","active_severe.CD8+ CD73+ regulatory T cells",-2.73159841172182,1.14038658336939
"76","AR","active_severe.CD8+ central memory T cells",-2.98814453048618,1.13274218171018
"77","AR","active_severe.CD8+ cycling effector T cells",-1.69594143466064,1.17493349612799
"78","AR","active_severe.CD8+ effector memory T cells 1",-2.64374531066348,1.18793177904553
"79","AR","active_severe.CD8+ effector memory T cells 2",-2.03866807459003,1.22244872476851
"80","AR","active_severe.CD8+ exhausted T cells",-1.08005174897662,NA
"81","AR","active_severe.CD8+ naive T cells",-3.04869513511224,1.17943889491953
"82","AR","active_severe.CD8+ NK-like early effector T cells",-2.67129427141913,1.06788238209898
"83","AR","active_severe.CD8+ NK-like TEMRA cells",-2.61177866407281,1.16109481653989
"84","AR","active_severe.CD8+ TEMRA cells",-2.68765264588715,1.13641393518794
"85","AR","active_severe.Gamma Delta T cells",-2.19556937398621,1.0837692018703
"86","AR","active_severe.MAIT cells",-2.48024904674511,1.15609154801301
"87","AR","healthy.CD8+ CD73+ regulatory T cells",-2.71268375567412,1.18701265106629
"88","AR","healthy.CD8+ central memory T cells",-2.8655244434986,1.19941561937126
"89","AR","healthy.CD8+ cycling effector T cells",-1.70073621382369,1.33621183937986
"90","AR","healthy.CD8+ effector memory T cells 1",-2.48010057813843,1.09750780274064
"91","AR","healthy.CD8+ effector memory T cells 2",-2.26526962951527,1.0161014240355
"92","AR","healthy.CD8+ exhausted T cells",-2.85977020022881,NA
"93","AR","healthy.CD8+ naive T cells",-2.80709810270265,1.10125539872002
"94","AR","healthy.CD8+ NK-like early effector T cells",-2.75565749055593,1.21311509486305
"95","AR","healthy.CD8+ NK-like TEMRA cells",-2.36728611487147,1.07478481341953
"96","AR","healthy.CD8+ TEMRA cells",-2.40715999903487,1.15703297089617
"97","AR","healthy.Gamma Delta T cells",-2.28971991018,1.09787165972769
