"","tf","cell_type","avg","std"
"73","ASCL1","CD8+ CD73+ regulatory T cells",-0.468136686817793,0.602653990715448
"74","ASCL1","CD8+ central memory T cells",-0.444356216314568,0.680777617806668
"75","ASCL1","CD8+ cycling effector T cells",-0.657548476503167,0.735653347575433
"76","ASCL1","CD8+ effector memory T cells 1",-0.592916090536719,0.659553738041792
"77","ASCL1","CD8+ effector memory T cells 2",-0.53184406326963,0.686554935575012
"78","ASCL1","CD8+ exhausted T cells",-0.736151206856917,0.825943978512873
"79","ASCL1","CD8+ naive T cells",-0.39068004727112,0.627220169205273
"80","ASCL1","CD8+ NK-like early effector T cells",-0.572835976706969,0.601285992118753
"81","ASCL1","CD8+ NK-like TEMRA cells",-0.482034010561596,0.722508469766754
"82","ASCL1","CD8+ TEMRA cells",-0.401126633619449,0.682565125981822
"83","ASCL1","Gamma Delta T cells",-0.125429446717354,0.702707828287069
"84","ASCL1","MAIT cells",-0.589022007738137,0.640005798778556
"85","ATF1","CD8+ CD73+ regulatory T cells",0.165752539698361,0.976351973608741
"86","ATF1","CD8+ central memory T cells",0.147558178897819,0.932850636732539
"87","ATF1","CD8+ cycling effector T cells",0.280311277590401,0.904681318820293
"88","ATF1","CD8+ effector memory T cells 1",0.0239434044125433,0.93506848264592
"89","ATF1","CD8+ effector memory T cells 2",0.0600065294782746,0.898632952980773
"90","ATF1","CD8+ exhausted T cells",0.411197144615396,0.920546622310783
"91","ATF1","CD8+ naive T cells",0.038393683071898,0.920320339707179
"92","ATF1","CD8+ NK-like early effector T cells",0.00666881176050902,0.816251964802598
"93","ATF1","CD8+ NK-like TEMRA cells",0.00918762232718054,0.832690756048365
"94","ATF1","CD8+ TEMRA cells",0.0460847802758313,0.920743953648672
"95","ATF1","Gamma Delta T cells",0.205899448890755,0.871207088341728
"96","ATF1","MAIT cells",0.0983816773548501,1.00730260133261
"97","ATF2","CD8+ CD73+ regulatory T cells",-0.135537532494543,1.09737759603475
"98","ATF2","CD8+ central memory T cells",0.0154846412376533,1.21275218708426
"99","ATF2","CD8+ cycling effector T cells",-0.943156240459249,1.01538473804505
"100","ATF2","CD8+ effector memory T cells 1",0.0189700064205539,1.21110314248855
"101","ATF2","CD8+ effector memory T cells 2",-0.497471724505568,1.23029190940109
"102","ATF2","CD8+ exhausted T cells",-1.56736004751682,0.766514223286037
"103","ATF2","CD8+ naive T cells",-0.350768016351199,1.13602913488995
"104","ATF2","CD8+ NK-like early effector T cells",-0.102148265404372,1.08590955274178
"105","ATF2","CD8+ NK-like TEMRA cells",-0.30162716771802,1.20190985892402
"106","ATF2","CD8+ TEMRA cells",-0.47617119353163,1.04401861658693
"107","ATF2","Gamma Delta T cells",-0.95906193697502,1.12959889474236
"108","ATF2","MAIT cells",0.217004081913238,0.961377525055628
"109","ATF3","CD8+ CD73+ regulatory T cells",1.64191274055849,0.963539025861202
"110","ATF3","CD8+ central memory T cells",1.72269004265009,1.17304649375605
"111","ATF3","CD8+ cycling effector T cells",1.96382643228235,1.15030367747079
"112","ATF3","CD8+ effector memory T cells 1",1.41128534040668,1.09456698938608
"113","ATF3","CD8+ effector memory T cells 2",1.41125792737054,1.14922143173753
"114","ATF3","CD8+ exhausted T cells",1.6174978058918,1.07952187699879
"115","ATF3","CD8+ naive T cells",2.68024197234998,1.01524523466698
"116","ATF3","CD8+ NK-like early effector T cells",1.32385973994452,1.1775129668505
"117","ATF3","CD8+ NK-like TEMRA cells",1.23919661284284,1.08157435246166
"118","ATF3","CD8+ TEMRA cells",1.35416265249441,1.10943670885892
"119","ATF3","Gamma Delta T cells",1.39391431872193,0.990687471473183
"120","ATF3","MAIT cells",1.4779431819136,1.07214569835792
"121","ATF4","CD8+ CD73+ regulatory T cells",-0.127673203187548,0.848345411810084
"122","ATF4","CD8+ central memory T cells",0.00407319692585489,0.97014925424107
"123","ATF4","CD8+ cycling effector T cells",-0.243131498846127,0.849191048766359
"124","ATF4","CD8+ effector memory T cells 1",-0.107915020168318,0.9351438687581
"125","ATF4","CD8+ effector memory T cells 2",0.0153922196698024,0.947521861369082
"126","ATF4","CD8+ exhausted T cells",-0.63794175971233,0.604514808012316
